"ID externo","Nombre","Brand","Cantidad a mano","Cantidad pronosticada","Categoría de producto","Coste","Precio de venta","Referencia interna","Secuencia","Tipo de producto","Unidad de medida"
"__export__.product_template_158_e8e7ca08","Menú del 13 al 17 de marzo","","1000.0","1000.0","product.product_category_all","0.0","12.5","","1","Almacenable","uom.product_uom_unit"
"__export__.product_template_111_833695de","Restaurante","","10.0","10.0","product.product_category_all","0.0","1.0","","1","Almacenable","uom.product_uom_unit"
